"","penalty_fn","replicate","Assumption","variable","value"
"412","L2","rep_12","Reed","profits",131.610922161362
"413","L2","rep_13","Reed","profits",220.097520624763
"414","L2","rep_14","Reed","profits",310.58303643907
"415","L2","rep_15","Reed","profits",200.996151090676
"416","L2","rep_16","Reed","profits",226.648031307346
"417","L2","rep_17","Reed","profits",253.160772984042
"418","L2","rep_18","Reed","profits",193.894518945118
"419","L2","rep_19","Reed","profits",188.559309862507
"420","L2","rep_20","Reed","profits",169.535558190992
"421","L2","rep_21","Reed","profits",227.109403198546
"422","L2","rep_22","Reed","profits",238.322466759979
"423","L2","rep_23","Reed","profits",223.959844909886
"424","L2","rep_24","Reed","profits",153.760832489862
"425","L2","rep_25","Reed","profits",146.683804548714
"426","L2","rep_26","Reed","profits",224.119688429729
"427","L2","rep_27","Reed","profits",189.798100759725
"428","L2","rep_28","Reed","profits",180.656346356602
"429","L2","rep_29","Reed","profits",208.716117985863
"430","L2","rep_30","Reed","profits",160.278737087252
"431","L2","rep_31","Reed","profits",189.058434517975
"432","L2","rep_32","Reed","profits",202.032391634528
"433","L2","rep_33","Reed","profits",199.493640898062
"434","L2","rep_34","Reed","profits",190.750864985899
"435","L2","rep_35","Reed","profits",214.551092495149
"436","L2","rep_36","Reed","profits",191.596168964131
"437","L2","rep_37","Reed","profits",158.954224105902
"438","L2","rep_38","Reed","profits",167.68089144026
"439","L2","rep_39","Reed","profits",173.2030110072
"440","L2","rep_40","Reed","profits",161.043069194403
"441","L2","rep_41","Reed","profits",252.838635122047
"442","L2","rep_42","Reed","profits",221.194258836178
"443","L2","rep_43","Reed","profits",179.462031912625
"444","L2","rep_44","Reed","profits",113.5156963226
"445","L2","rep_45","Reed","profits",188.606003836876
"446","L2","rep_46","Reed","profits",227.161089479699
"447","L2","rep_47","Reed","profits",162.498053395656
"448","L2","rep_48","Reed","profits",224.104241195748
"449","L2","rep_49","Reed","profits",152.180490179614
"450","L2","rep_50","Reed","profits",146.355044817387
"451","L2","rep_51","Reed","profits",197.440487025179
"452","L2","rep_52","Reed","profits",197.585348430784
"453","L2","rep_53","Reed","profits",173.295224473027
"454","L2","rep_54","Reed","profits",216.382041885624
"455","L2","rep_55","Reed","profits",179.516757001025
"456","L2","rep_56","Reed","profits",185.849301643872
"457","L2","rep_57","Reed","profits",193.04339928841
"458","L2","rep_58","Reed","profits",187.484142752038
"459","L2","rep_59","Reed","profits",196.035028930497
"460","L2","rep_60","Reed","profits",182.804189425133
"461","L2","rep_61","Reed","profits",176.776417590576
"462","L2","rep_62","Reed","profits",196.971441226992
"463","L2","rep_63","Reed","profits",155.874827747564
"464","L2","rep_64","Reed","profits",155.375556275475
"465","L2","rep_65","Reed","profits",171.44640544639
"466","L2","rep_66","Reed","profits",154.067292128217
"467","L2","rep_67","Reed","profits",150.800914529414
"468","L2","rep_68","Reed","profits",185.300707069177
"469","L2","rep_69","Reed","profits",128.200629325174
"470","L2","rep_70","Reed","profits",183.763227848705
"471","L2","rep_71","Reed","profits",148.187294460833
"472","L2","rep_72","Reed","profits",195.417223868329
"473","L2","rep_73","Reed","profits",232.575165746178
"474","L2","rep_74","Reed","profits",143.363020859481
"475","L2","rep_75","Reed","profits",227.622051309078
"476","L2","rep_76","Reed","profits",147.173406345451
"477","L2","rep_77","Reed","profits",233.674152776869
"478","L2","rep_78","Reed","profits",141.343009773509
"479","L2","rep_79","Reed","profits",155.733784640534
"480","L2","rep_80","Reed","profits",159.938098987338
"481","L2","rep_81","Reed","profits",150.172152675284
"482","L2","rep_82","Reed","profits",170.93526994403
"483","L2","rep_83","Reed","profits",211.429482184367
"484","L2","rep_84","Reed","profits",163.417646070865
"485","L2","rep_85","Reed","profits",79.7343497961134
"486","L2","rep_86","Reed","profits",200.29940290138
"487","L2","rep_87","Reed","profits",148.667119725222
"488","L2","rep_88","Reed","profits",203.707694769337
"489","L2","rep_89","Reed","profits",183.899884837151
