"","time","penalty_fn","replicate","variable","value","baseline"
"1600",20,"L2","rep_20","harvest",0,"penalty"
"1601",1,"fixed","rep_11","harvest",7.67387755102041,"penalty"
"1602",2,"fixed","rep_11","harvest",0.01,"penalty"
"1603",3,"fixed","rep_11","harvest",0.01,"penalty"
"1604",4,"fixed","rep_11","harvest",0.01,"penalty"
"1605",5,"fixed","rep_11","harvest",0.01,"penalty"
"1606",6,"fixed","rep_11","harvest",0.01,"penalty"
"1607",7,"fixed","rep_11","harvest",0.01,"penalty"
"1608",8,"fixed","rep_11","harvest",0.01,"penalty"
"1609",9,"fixed","rep_11","harvest",7.34775510204082,"penalty"
"1610",10,"fixed","rep_11","harvest",0.01,"penalty"
"1611",11,"fixed","rep_11","harvest",0.01,"penalty"
"1612",12,"fixed","rep_11","harvest",0.01,"penalty"
"1613",13,"fixed","rep_11","harvest",0.01,"penalty"
"1614",14,"fixed","rep_11","harvest",0.01,"penalty"
"1615",15,"fixed","rep_11","harvest",0.01,"penalty"
"1616",16,"fixed","rep_11","harvest",0.01,"penalty"
"1617",17,"fixed","rep_11","harvest",0.01,"penalty"
"1618",18,"fixed","rep_11","harvest",0.01,"penalty"
"1619",19,"fixed","rep_11","harvest",8,"penalty"
"1620",20,"fixed","rep_11","harvest",0,"penalty"
"1621",1,"fixed","rep_12","harvest",7.67387755102041,"penalty"
"1622",2,"fixed","rep_12","harvest",0.01,"penalty"
"1623",3,"fixed","rep_12","harvest",0.01,"penalty"
"1624",4,"fixed","rep_12","harvest",0.01,"penalty"
"1625",5,"fixed","rep_12","harvest",0.01,"penalty"
"1626",6,"fixed","rep_12","harvest",0.01,"penalty"
"1627",7,"fixed","rep_12","harvest",0.01,"penalty"
"1628",8,"fixed","rep_12","harvest",0.01,"penalty"
"1629",9,"fixed","rep_12","harvest",0.01,"penalty"
"1630",10,"fixed","rep_12","harvest",0.01,"penalty"
"1631",11,"fixed","rep_12","harvest",0.01,"penalty"
"1632",12,"fixed","rep_12","harvest",0.01,"penalty"
"1633",13,"fixed","rep_12","harvest",0.01,"penalty"
"1634",14,"fixed","rep_12","harvest",0.01,"penalty"
"1635",15,"fixed","rep_12","harvest",0.01,"penalty"
"1636",16,"fixed","rep_12","harvest",0.01,"penalty"
"1637",17,"fixed","rep_12","harvest",0.01,"penalty"
"1638",18,"fixed","rep_12","harvest",4.0865306122449,"penalty"
"1639",19,"fixed","rep_12","harvest",7.34775510204082,"penalty"
